iter,new_cuts,total_cuts,V,ΔV,t_fwd,t_bwd,t_eval,t_iter,t_cum,unique_nodes,bwd_work_units,avg_children_visited,per_stage
1,9,9,2.564384897693742,2.564384897693742,1.9240000247955322,1.9820001125335693,0.0,3.9060001373291016,3.9060001373291016,9,900,100.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,9,18,5.952807768871454,3.3884228711777116,0.03300023078918457,0.7299997806549072,0.0,0.7630000114440918,4.669000148773193,9,900,100.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]"
3,9,27,10.20933136560431,4.2565235967328565,0.021000146865844727,0.749000072479248,0.0,0.7700002193450928,5.439000368118286,9,900,100.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3]"
4,8,35,11.134593293514898,0.9252619279105883,0.021999835968017578,0.753000020980835,0.0,0.7749998569488525,6.214000225067139,9,900,100.0,"[4, 4, 4, 3, 4, 4, 4, 4, 4]"
5,9,44,11.202592656296877,0.06799936278197904,0.02200007438659668,0.746999979019165,0.0,0.7690000534057617,6.9830002784729,9,900,100.0,"[5, 5, 5, 4, 5, 5, 5, 5, 5]"
6,8,52,11.757503651225104,0.5549109949282265,0.023000001907348633,0.7519998550415039,0.0,0.7749998569488525,7.758000135421753,9,900,100.0,"[6, 6, 6, 5, 6, 6, 6, 6, 5]"
7,9,61,12.045474360672609,0.2879707094475048,0.024000167846679688,0.747999906539917,0.0,0.7720000743865967,8.53000020980835,9,900,100.0,"[7, 7, 7, 6, 7, 7, 7, 7, 6]"
8,8,69,13.009978215848228,0.9645038551756198,0.023999929428100586,0.7580001354217529,0.0,0.7820000648498535,9.312000274658203,9,900,100.0,"[8, 8, 8, 7, 8, 8, 8, 8, 6]"
9,8,77,14.178604287240937,1.1686260713927084,0.02200007438659668,0.7609999179840088,0.0,0.7829999923706055,10.095000267028809,9,900,100.0,"[9, 9, 9, 8, 9, 9, 9, 9, 6]"
10,9,86,14.30552662926101,0.12692234202007313,0.020999908447265625,0.9260001182556152,0.0,0.9470000267028809,11.04200029373169,9,900,100.0,"[10, 10, 10, 9, 10, 10, 10, 10, 7]"
11,7,93,14.335014244326588,0.02948761506557851,0.02499985694885254,0.815000057220459,0.0,0.8399999141693115,11.882000207901001,9,900,100.0,"[11, 11, 10, 10, 11, 11, 11, 11, 7]"
12,8,101,14.347824747895114,0.012810503568525533,0.02200007438659668,0.7769999504089355,0.0,0.7990000247955322,12.681000232696533,9,900,100.0,"[12, 12, 10, 11, 12, 12, 12, 12, 8]"
13,6,107,14.347824747895114,0.0,0.023000001907348633,0.8020000457763672,0.0,0.8250000476837158,13.506000280380249,9,900,100.0,"[12, 12, 10, 12, 13, 13, 13, 13, 9]"
14,6,113,14.347824747895114,0.0,0.026000022888183594,0.7949998378753662,0.0,0.8209998607635498,14.327000141143799,9,900,100.0,"[12, 12, 11, 13, 14, 14, 14, 14, 9]"
15,9,122,15.0362167760903,0.6883920281951852,0.026000022888183594,0.7740001678466797,0.0,0.8000001907348633,15.127000331878662,9,900,100.0,"[13, 13, 12, 14, 15, 15, 15, 15, 10]"
16,9,131,15.291334410121946,0.255117634031647,0.021999835968017578,0.7750000953674316,0.0,0.7969999313354492,15.924000263214111,9,900,100.0,"[14, 14, 13, 15, 16, 16, 16, 16, 11]"
17,8,139,15.468288754407055,0.17695434428510914,0.023999929428100586,0.753000020980835,0.0,0.7769999504089355,16.701000213623047,9,900,100.0,"[15, 15, 14, 16, 17, 17, 17, 17, 11]"
18,8,147,15.82769717848249,0.3594084240754345,0.02200007438659668,0.7660000324249268,0.0,0.7880001068115234,17.48900032043457,9,900,100.0,"[16, 16, 15, 17, 18, 18, 18, 18, 11]"
19,9,156,16.00986053818457,0.18216335970207886,0.023000001907348633,0.7560000419616699,0.0,0.7790000438690186,18.26800036430359,9,900,100.0,"[17, 17, 16, 18, 19, 19, 19, 19, 12]"
20,9,165,16.150074457666378,0.14021391948180906,0.025999784469604492,0.7700002193450928,0.0,0.7960000038146973,19.064000368118286,9,900,100.0,"[18, 18, 17, 19, 20, 20, 20, 20, 13]"
21,6,171,16.211892856933574,0.0618183992671959,0.02499985694885254,0.7929999828338623,0.0,0.8179998397827148,19.882000207901,9,900,100.0,"[19, 19, 18, 20, 21, 20, 20, 21, 13]"
22,7,178,16.21980466280514,0.007911805871565036,0.04500007629394531,0.7809998989105225,0.0,0.8259999752044678,20.70800018310547,9,900,100.0,"[20, 20, 19, 21, 22, 21, 21, 21, 13]"
23,9,187,16.421714639662024,0.20190997685688572,0.024000167846679688,0.7669999599456787,0.0,0.7910001277923584,21.499000310897827,9,900,100.0,"[21, 21, 20, 22, 23, 22, 22, 22, 14]"
24,9,196,16.44918757843628,0.02747293877425605,0.023999929428100586,0.7829999923706055,0.0,0.806999921798706,22.306000232696533,9,900,100.0,"[22, 22, 21, 23, 24, 23, 23, 23, 15]"
25,9,205,16.605759580617374,0.15657200218109324,0.026000022888183594,0.8259999752044678,0.0,0.8519999980926514,23.158000230789185,9,900,100.0,"[23, 23, 22, 24, 25, 24, 24, 24, 16]"
26,8,213,16.677827953661488,0.07206837304411451,0.02500009536743164,0.804999828338623,0.0,0.8299999237060547,23.98800015449524,9,900,100.0,"[24, 24, 23, 25, 26, 25, 25, 25, 16]"
